"","X","sex","age","body_type","income","diet","smokes","status","height"
"1",211,"m",23,"fit",19900,1,1,1,73
"2",359,"m",26,"fit",68800,1,0,1,73
"3",1000,"m",33,"fit",51200,1,1,1,71
"4",619,"f",61,"fit",149900,0,0,1,64
"5",727,"f",21,"ff",17800,1,1,1,67
"6",811,"m",32,"fit",165100,1,1,1,70
"7",812,"m",47,"average",223900,0,0,1,72
"8",841,"f",61,"average",64600,1,1,1,63
"9",719,"m",39,"fit",104700,1,0,1,78
"10",957,"f",28,"average",55000,0,0,1,66
"11",62,"m",34,"fit",50900,1,1,1,75
"12",324,"m",26,"fit",19100,1,1,0,72
"13",823,"m",32,"fit",134800,1,0,1,70
"14",660,"f",28,"thin",36300,0,0,1,63
"15",873,"m",45,"fit",36100,0,0,1,69
"16",140,"m",24,"thin",19100,0,0,1,76
"17",130,"m",52,"fit",81300,1,0,1,73
"18",109,"m",32,"fit",74900,1,0,1,70
"19",20,"m",54,"thin",61600,0,0,1,72
"20",606,"m",65,"ff",19800,0,0,1,70
"21",432,"m",30,"average",29500,0,0,1,69
"22",3,"m",27,"average",54500,1,0,1,67
"23",882,"m",27,"average",18000,1,0,1,66
"24",767,"m",27,"ff",20000,0,0,1,70
"25",430,"m",34,"fit",72200,0,1,1,69
"26",839,"f",19,"thin",22200,1,0,0,64
"27",876,"m",28,"fit",75500,1,0,1,65
"28",522,"f",47,"average",66000,1,0,1,63
"29",689,"m",42,"average",98100,1,0,1,67
"30",554,"f",28,"average",20500,1,1,1,62
"31",445,"m",25,"fit",37100,1,1,1,71
"32",272,"m",42,"average",56000,1,1,1,68
"33",820,"f",21,"ff",17700,1,0,1,63
"34",799,"m",28,"fit",29200,1,1,1,74
"35",561,"m",41,"ff",93300,1,0,1,71
"36",567,"m",52,"ff",73000,1,0,1,70
"37",790,"f",25,"thin",79400,1,0,1,64
"38",112,"m",34,"fit",21800,1,0,1,70
"39",773,"m",33,"average",75800,1,0,1,71
"40",596,"m",27,"thin",27100,1,0,1,67
"41",241,"f",18,"thin",21700,1,1,0,66
"42",396,"m",23,"fit",48100,0,0,1,76
"43",417,"m",26,"fit",26300,1,0,1,67
"44",575,"m",48,"ff",55700,1,0,1,74
"45",641,"f",65,"thin",88300,0,0,1,63
"46",708,"m",41,"average",28400,1,0,1,72
"47",634,"f",32,"average",63600,0,1,0,62
"48",770,"m",42,"fit",45100,1,0,1,72
"49",244,"m",31,"thin",161800,0,0,1,72
"50",859,"m",29,"fit",880100,1,1,1,71
"51",609,"m",25,"fit",31700,1,1,1,67
"52",751,"m",32,"fit",69500,1,0,1,71
"53",833,"m",30,"fit",461100,1,1,1,75
"54",242,"m",29,"fit",72800,1,0,1,72
"55",704,"m",56,"fit",85700,0,0,1,67
"56",452,"m",49,"fit",28600,0,0,1,69
"57",746,"f",56,"ff",1094500,0,0,1,62
"58",278,"m",37,"fit",85400,1,0,1,68
"59",103,"m",27,"thin",21400,0,0,1,76
"60",461,"m",28,"fit",19400,0,0,0,75
"61",671,"m",19,"fit",20600,1,1,1,70
"62",540,"f",32,"fit",21300,1,0,1,66
"63",131,"m",28,"average",44000,0,1,1,74
"64",560,"m",33,"fit",82300,1,1,1,70
"65",201,"m",30,"fit",96300,0,0,1,72
"66",416,"m",48,"ff",134900,0,0,1,72
"67",697,"m",41,"fit",88300,0,0,1,72
"68",653,"m",30,"fit",62300,1,0,1,68
"69",672,"m",27,"fit",965600,1,0,1,71
"70",343,"m",36,"ff",111400,1,0,1,74
"71",245,"m",28,"fit",18100,0,0,1,69
"72",215,"m",35,"average",26700,0,0,1,73
"73",593,"m",43,"thin",99300,1,0,1,71
"74",48,"m",36,"fit",74500,1,0,1,72
"75",72,"m",26,"average",18900,1,0,1,70
